組み合わせ,共起回数
"事務所, 思う",15
"時, 時, 私",15
"思う, 時, 時, 私",39
"思う, 時, 私",35
"思う, 思う, 時, 私",31
"思う, 私",19
"思う, 思う, 私",16
"できる, 時",10
"できる, 思う, 時",20
"できる, 思う",17
"できる, 思う, 思う",11
"みたい, みたい, 方",12
"みたい, みたい, 思う, 方",36
"すごい, みたい, みたい, 方",60
"すごい, みたい, みたい, 思う, 方",36
"みたい, 思う, 方",39
"すごい, みたい, 思う, 方",182
"みたい, 思う, 思う, 方",36
"すごい, みたい, 思う, 思う, 方",36
"すごい, みたい, 方",62
"すごい, すごい, みたい, 方",121
"思う, 思う, 方",13
"すごい, 思う, 思う, 方",60
"すごい, 思う, 方",62
"すごい, すごい, 思う, 方",121
"すごい, 方",22
"すごい, すごい, 方",41
"みたい, 思う, 思う, 言う",15
"すごい, みたい, 思う, 思う, 言う",51
"すごい, みたい, 思う, 言う",55
"すごい, すごい, みたい, 思う, 言う",92
"すごい, みたい, 言う",21
"すごい, すごい, みたい, 言う",32
"すごい, すごい, 言う",13
"すごい, すごい, 思う, 言う",34
"すごい, すごい, すごい, 言う",10
"すごい, すごい, すごい, 思う, 言う",10
"すごい, 思う, 言う",26
"すごい, 思う, 思う, 言う",20
"思う, 言う",17
"思う, 思う, 言う",10
"いう, みたい, 思う, 思う",19
"いう, すごい, みたい, 思う, 思う",90
"いう, すごい, みたい, 思う",90
"いう, すごい, すごい, みたい, 思う",180
"いう, すごい, みたい",32
"いう, すごい, すごい, みたい",60
"いう, すごい, すごい",21
"いう, すごい, すごい, 思う",62
"いう, すごい, すごい, すごい",20
"いう, すごい, すごい, すごい, 思う",20
"いう, すごい, 思う",35
"いう, すごい, 思う, 思う",32
"いう, 思う",17
"いう, 思う, 思う",11
"みたい, ジャ, 時",13
"みたい, ジャ, 思う, 時",37
"ジャ, 思う, 時",22
"ジャ, 思う, 思う, 時",21
"すごい, すごい, すごい, ジャ",10
"すごい, すごい, すごい, ジャ, 思う",30
"すごい, すごい, すごい, みたい, ジャ",30
"すごい, すごい, すごい, みたい, ジャ, 思う",30
"すごい, すごい, みたい, ジャ",31
"すごい, すごい, みたい, みたい, ジャ",30
"すごい, すごい, ジャ, 思う",31
"すごい, すごい, みたい, ジャ, 思う",91
"すごい, すごい, ジャ, 思う, 思う",30
"すごい, すごい, みたい, ジャ, 思う, 思う",30
"すごい, みたい, みたい, ジャ",18
"すごい, みたい, みたい, ジャ, 思う",51
"すごい, みたい, ジャ, 思う",59
"すごい, みたい, ジャ, 思う, 思う",57
"すごい, ジャ, 思う",24
"すごい, ジャ, 思う, 思う",21
"みたい, ジャ",13
"みたい, ジャ, 思う",24
"ジャ, 思う",17
"ジャ, 思う, 思う",12
"みたい, ジャ, ニーズ, 時",19
"みたい, ジャ, ニーズ, 思う, 時",55
"ジャ, ニーズ, 思う, 時",31
"ジャ, ニーズ, 思う, 思う, 時",30
"みたい, ニーズ, 時",13
"みたい, ニーズ, 思う, 時",37
"ニーズ, 思う, 時",22
"ニーズ, 思う, 思う, 時",21
"すごい, すごい, すごい, ニーズ",10
"すごい, すごい, すごい, ジャ, ニーズ",10
"すごい, すごい, すごい, ニーズ, 思う",30
"すごい, すごい, すごい, みたい, ニーズ",30
"すごい, すごい, すごい, ジャ, ニーズ, 思う",10
"すごい, すごい, すごい, みたい, ジャ, ニーズ",10
"すごい, すごい, すごい, みたい, ニーズ, 思う",30
"すごい, すごい, すごい, みたい, ジャ, ニーズ, 思う",10
"すごい, すごい, ジャ, ニーズ, 思う",31
"すごい, すごい, ジャ, ニーズ, 思う, 思う",30
"すごい, すごい, みたい, ジャ, ニーズ",31
"すごい, すごい, みたい, ジャ, ニーズ, 思う",91
"すごい, すごい, みたい, みたい, ジャ, ニーズ",30
"すごい, すごい, みたい, みたい, ジャ, ニーズ, 思う",30
"すごい, すごい, みたい, ニーズ",31
"すごい, すごい, みたい, みたい, ニーズ",30
"すごい, すごい, ニーズ, 思う",31
"すごい, すごい, みたい, ニーズ, 思う",91
"すごい, すごい, ニーズ, 思う, 思う",30
"すごい, すごい, みたい, ニーズ, 思う, 思う",30
"すごい, みたい, みたい, ジャ, ニーズ",19
"すごい, みたい, みたい, ジャ, ニーズ, 思う",54
"すごい, みたい, ジャ, ニーズ, 思う",65
"すごい, みたい, ジャ, ニーズ, 思う, 思う",63
"すごい, ジャ, ニーズ, 思う",27
"すごい, ジャ, ニーズ, 思う, 思う",24
"すごい, みたい, みたい, ニーズ",18
"すごい, みたい, みたい, ニーズ, 思う",51
"すごい, みたい, ニーズ, 思う",59
"すごい, みたい, ニーズ, 思う, 思う",57
"すごい, ニーズ, 思う",24
"すごい, ニーズ, 思う, 思う",21
"みたい, ジャ, ニーズ",15
"みたい, ジャ, ニーズ, 思う",30
"みたい, ニーズ, 思う",24
"みたい, ニーズ, 思う, 思う",21
"ジャ, ニーズ",15
"ジャ, ニーズ, 思う",20
"ニーズ, 思う",17
"ニーズ, 思う, 思う",12
"さん, 時",18
"さん, 思う, 時",31
"思う, 時",23
"思う, 思う, 時",16
"すごい, すごい, すごい",10
"すごい, すごい, すごい, みたい",30
"すごい, すごい, すごい, 思う",30
"すごい, すごい, すごい, みたい, 思う",30
"すごい, すごい, みたい",31
"すごい, すごい, みたい, 思う",91
"すごい, すごい, みたい, みたい",30
"すごい, すごい, みたい, みたい, 思う",30
"すごい, すごい, 思う",33
"すごい, すごい, 思う, 思う",31
"すごい, みたい, みたい",17
"すごい, みたい, みたい, 思う",48
"すごい, みたい, 思う",53
"すごい, みたい, 思う, 思う",51
"すごい, 思う",26
"すごい, 思う, 思う",20
"さん, みたい",11
"さん, みたい, 思う",15
"みたい, 思う",25
"みたい, 思う, 思う",17
"それ, 思う",21
"さん, 思う",19
"思う, 思う",17
