名詞,名詞数,動詞,動詞数,形容詞,形容詞数
ペンライト,1,抱く,1.0,ない,9.0
今回,5,思う,34.0,すごい,11.0
一連,1,読む,2.0,多い,6.0
喜多川,3,いく,4.0,重たい,1.0
氏,3,止める,3.0,少ない,1.0
世界,1,決める,1.0,恥ずかしい,1.0
問題,5,辞める,1.0,良い,2.0
様々,1,考える,3.0,ほしい,2.0
思い,1,見る,3.0,詳しい,1.0
ファン,29,られる,8.0,大きい,1.0
声,10,いらっしゃる,1.0,ものすごい,1.0
現時点,1,やめる,2.0,厳しい,1.0
名分,1,割り切る,1.0,難しい,1.0
ホームページ,1,感じる,3.0,やすい,2.0
紹介,1,いう,7.0,いい,1.0
ジャ,19,わかる,4.0,,
ニーズ,19,疲れる,1.0,,
アイドル,12,しまう,6.0,,
よう,5,上げる,4.0,,
明るみ,1,押す,1.0,,
人,14,受ける,2.0,,
辺,1,出る,4.0,,
想像,4,持つ,3.0,,
方,20,くる,6.0,,
多く,2,言う,9.0,,
性,4,変わる,4.0,,
被害,10,知る,1.0,,
別,2,続ける,3.0,,
部分,2,くれる,1.0,,
事務所,15,続く,1.0,,
不信,1,成り立つ,1.0,,
感,1,使う,2.0,,
最近,1,囲む,1.0,,
メンバー,2,行く,2.0,,
脱退,1,悩む,1.0,,
全体,2,抱える,1.0,,
状況,3,かこう,1.0,,
みたい,7,きる,1.0,,
名,1,降りる,1.0,,
中,3,見つける,1.0,,
自分,2,払う,1.0,,
全員,1,移す,1.0,,
性的,1,黙る,2.0,,
虐待,1,見過ごす,1.0,,
風,3,信じる,1.0,,
非常,4,限る,2.0,,
気持ち,4,変える,1.0,,
いくつ,1,できる,5.0,,
公,1,通じる,1.0,,
ふう,3,去る,1.0,,
テレビ,1,みる,1.0,,
結果,1,違う,2.0,,
的,6,作る,2.0,,
表,1,与える,1.0,,
みんな,2,受け取る,1.0,,
者,2,やる,2.0,,
印象,2,入る,3.0,,
今後,2,当たる,2.0,,
たち,6,出す,3.0,,
人気,1,かう,1.0,,
影響,1,もらう,2.0,,
これ,2,揃える,1.0,,
しょうが,1,従う,1.0,,
ところ,4,取れる,1.0,,
何,5,近づく,1.0,,
落ち度,1,撮る,1.0,,
応援,7,振る,1.0,,
必要,3,座る,1.0,,
担当,1,待つ,1.0,,
逆,1,来る,1.0,,
私,5,いける,1.0,,
今,2,調べる,1.0,,
笑顔,1,抜ける,1.0,,
活動,5,行ける,1.0,,
それ,10,売る,1.0,,
姿勢,1,入れる,3.0,,
加害,3,住む,1.0,,
上,1,でる,1.0,,
ビジネス,2,譲る,1.0,,
グッズ,1,なれる,1.0,,
購入,1,おっしゃる,1.0,,
関係,2,許す,1.0,,
お金,1,買う,1.0,,
反省,1,聞ける,1.0,,
加担,1,狙える,1.0,,
意見,1,かなう,1.0,,
真面目,1,聞く,1.0,,
好き,1,,,,
システム,1,,,,
環境,2,,,,
貢献,2,,,,
自身,1,,,,
コンサート,4,,,,
かも,1,,,,
対応,3,,,,
タレント,2,,,,
時,1,,,,
静か,1,,,,
選択肢,1,,,,
ため,2,,,,
グループ,10,,,,
不買,1,,,,
ポスト,1,,,,
イット,1,,,,
形,8,,,,
行動,2,,,,
件,1,,,,
対処,1,,,,
違い,1,,,,
指摘,1,,,,
哲学,1,,,,
もの,3,,,,
僕,2,,,,
日本,9,,,,
あり方,1,,,,
社会,2,,,,
実感,1,,,,
先,1,,,,
確か,4,,,,
ファンクラブ,13,,,,
韓国,2,,,,
国,2,,,,
中心,1,,,,
コミュニティ,1,,,,
コミュニケーション,1,,,,
ダム,1,,,,
設立,1,,,,
そこ,3,,,,
参加,2,,,,
情報,2,,,,
立場,1,,,,
正式,1,,,,
加盟,1,,,,
チケット,3,,,,
意味,1,,,,
あれ,1,,,,
管理,1,,,,
その他,1,,,,
広告,5,,,,
誕生,2,,,,
日,2,,,,
くん,1,,,,
有志,1,,,,
所属,1,,,,
かに,1,,,,
〇,2,,,,
君,1,,,,
画像,3,,,,
許可,1,,,,
掲載,1,,,,
絶対,2,,,,
肖像,1,,,,
権,1,,,,
取り扱い,1,,,,
自主,1,,,,
勝手,1,,,,
もん,1,,,,
足並み,1,,,,
誘導,1,,,,
擁護,1,,,,
たくさん,1,,,,
大好き,1,,,,
考え,1,,,,
そう,2,,,,
統率,1,,,,
気,2,,,,
バック,1,,,,
ステージ,1,,,,
握手,1,,,,
写真,1,,,,
手,1,,,,
かなり,1,,,,
特典,1,,,,
場所,1,,,,
皆さん,1,,,,
方々,2,,,,
とこ,1,,,,
感じ,1,,,,
番組,1,,,,
協力,1,,,,
募集,1,,,,
メール,1,,,,
応募,1,,,,
抽選,1,,,,
どれ,1,,,,
いるか,1,,,,
嵐,2,,,,
万,1,,,,
会員,1,,,,
数,1,,,,
累計,1,,,,
途中,1,,,,
桁違い,1,,,,
ライブ,1,,,,
優先,1,,,,
話,2,,,,
楽曲,2,,,,
解禁,2,,,,
売り上げ,1,,,,
保守,1,,,,
あと,1,,,,
海外,2,,,,
住所,1,,,,
他,1,,,,
外国,2,,,,
グレー,1,,,,
アメリカ,1,,,,
デビュー,2,,,,
日本人,1,,,,
さっき,1,,,,
曲,2,,,,
ダウンロード,1,,,,
販売,2,,,,
形式,1,,,,
会見,1,,,,
マイナス,1,,,,
若干,1,,,,
疑問,1,,,,
